iter	Passed	Remaining
906	13295	1363
907	13304	1348
908	13311	1332
909	13321	1317
910	13328	1302
911	13340	1287
912	13348	1272
913	13357	1256
914	13364	1241
915	13373	1226
916	13381	1211
917	13390	1196
918	13398	1180
919	13407	1165
920	13419	1151
921	13430	1136
922	13441	1121
923	13454	1106
924	13467	1091
925	13477	1077
926	13489	1062
927	13500	1047
928	13511	1032
929	13523	1017
930	13535	1003
931	13546	988
932	13558	973
933	13570	958
934	13581	944
935	13592	929
936	13604	914
937	13616	900
938	13626	885
939	13638	870
940	13650	855
941	13662	841
942	13674	826
943	13688	812
944	13700	797
945	13712	782
946	13723	768
947	13735	753
948	13747	738
949	13756	724
950	13770	709
951	13782	694
952	13793	680
953	13805	665
954	13816	651
955	13828	636
956	13838	621
957	13850	607
958	13862	592
959	13872	578
960	13885	563
961	13897	548
962	13904	534
963	13914	519
964	13920	504
965	13930	490
966	13936	475
967	13946	461
968	13952	446
969	13963	431
970	13969	417
971	13980	402
972	13988	388
973	13997	373
974	14004	359
975	14014	344
976	14021	330
977	14030	315
978	14037	301
979	14049	286
980	14061	272
981	14073	257
982	14084	243
983	14097	229
984	14105	214
985	14113	200
986	14120	185
987	14129	171
988	14136	157
989	14145	142
990	14152	128
991	14162	114
992	14169	99
993	14178	85
994	14185	71
995	14196	57
996	14204	42
997	14212	28
998	14220	14
999	14228	0
